La distance maximale qu'une fourmi peut parcourir par jour est :;5 kilomètres;50 mètres;500 mètres;5 kilomètres
L'animal capable de détecter des infrasons produits par les tremblements de terre est :;Dauphin;Serpent;Éléphant;Éléphant
Quelle est la région la plus peuplée de France ?;Hauts-de-France;Île-de-France;Auvergne-Rhône-Alpes;Île-de-France
Quelle est la région la moins peuplée de France ?;Lozère;Cantal;Ardennes;Lozère
Quelle période de l'histoire est caractérisée par l'utilisation d'outils en métal ?;Âge du fer;Âge de pierre;Âge du bronze;Âge du bronze
Quel explorateur a ouvert la route maritime vers l'Inde en contournant le cap de Bonne-Espérance ?;Vasco de Gama;Christophe Colomb;Marco Polo;Vasco de Gama
Quel est le plus grand organe du corps humain ?;Foie;Peau;Cerveau;Peau
Quel est l'élément qui donne aux bananes leur couleur jaune ?;Fer;Potassium;Calcium;Potassium
Combien de vertèbres la colonne vertébrale humaine a-t-elle ?;33;42;26;26
La durée de vie moyenne d'un éléphant en captivité est :;70 ans;30 ans;50 ans;30 ans
Quelle est la superficie de la France ?;643 801 km²;551 500 km²;543 940 km²;643 801 km²
Quelle est le plus long fleuve qui traverse la France ?;Le Rhône;Le Rhin;La Loire;Le Rhin
Quel est l'air que nous respirons principalement ?;Azote;Oxygène;Hydrogène;Oxygène
Quelle est la couleur complémentaire du magenta ?;Rouge;Vert;Marron;Vert
En utilisant la synthèse additive des couleurs, dans quel catégorie se trouve le jaune ?;Couleurs primaires;Couleurs secondaires;Couleurs tertiaires;Couleurs secondaires
Quel est la capitale de la Mongolie ?;Oulan-Bator;Bogota;Astana;Oulan-Bator
Comment appelle-t-on les habitants de Saint-Etienne ?;Stéphanois;Saint-Etiennois;Stéphaniens;Stéphanois
A quelle altitude se termine la stratosphère ?;25 km;50 km;100 km;50 km
A quelle distance du Soleil de trouve la Terre ?;10 567 343 km;21 980 184 km;14 597 870 km;14 597 870 km
Quel est le minéral considéré comme étant l'un des plus dur sur l'échelle de Mohs ?;Gypse;Saphire;Diamant;Diamant
Quelle est la dureté du quartz sur l'échelle de Mohs ?;5;7;9;7
En France, quel est le moment de l'année où le Soleil est le plus proche de la Terre ?;Équinoxe de printemps;Solstice d'été;Solstice d'hiver;Solstice d'hiver
Qui est la personne ayant créé le premier programme informatique de l'histoire ?;Ada Lovelace;Alan Turing;Hedy Lamarr;Ada Lovelace
Quel traité a mis fin à la Première Guerre mondiale ?;Traité de Versailles;Traité de Paris;Traité de Francfort;Traité de Versailles
Combien de paires de chromosomes a un humain ?;23;22;24;23
Quelle unité est utilisée pour mesurer l’intensité du courant électrique ?;Le volt;L’ampère;Le watt;L'ampère
Quelle est la durée approximative d'une année sur Jupiter ?;4,3 ans terrestres;7,8 ans terrestres;11,9 ans terrestres;11,9 ans terrestres
De quel groupe d’animaux actuels les dinosaures sont-ils les plus proches ?;Les reptiles;Les oiseaux;Les mammifères;Les oiseaux
Qui a écrit Les Misérables ?;Victor Hugo;Émile Zola;Honoré de Balzac;Victor Hugo
En quelle année ont eu lieu les premiers Jeux Olympiques modernes ?;1896;1900;1924;1896
Qui a composé La Flûte enchantée ?;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Johann Sebastian Bach;Wolfgang Amadeus Mozart
En quelle année a été lancé le premier vol commercial du Concorde ?;1976;1980;1985;1976
Quel est le nom de l’inventeur du World Wide Web ?;Bill Gates;Tim Berners-Lee;Steve Jobs;Tim Berners-Lee